OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
OTU_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
OTU_100,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_101,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Verticiella,NA
OTU_102,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,NA
OTU_104,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Frondihabitans,NA
OTU_105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,NA
OTU_107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,clevelandensis
OTU_109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
OTU_11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA
OTU_112,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,NA
OTU_114,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Rheinheimera,NA
OTU_115,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Amnibacterium,NA
OTU_116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,illinoisensis
OTU_117,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,sedimentorum
OTU_12,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA
OTU_121,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA
OTU_125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
OTU_126,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,NA
OTU_127,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
OTU_128,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
OTU_130,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
OTU_131,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA
OTU_132,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
OTU_136,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_137,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
OTU_139,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,koreensis
OTU_140,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,NA
OTU_141,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,NA
OTU_143,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA
OTU_145,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,NA
OTU_147,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
OTU_153,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
OTU_154,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
OTU_155,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,NA
OTU_157,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
OTU_158,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
OTU_16,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,NA
OTU_161,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,NA
OTU_162,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,NA
OTU_167,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
OTU_169,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,moscoviense
OTU_17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,roseum
OTU_171,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,NA
OTU_176,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Endobacter,NA
OTU_177,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_180,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
OTU_181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_183,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
OTU_185,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,astaxanthinifaciens
OTU_188,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
OTU_189,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,NA
OTU_193,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
OTU_198,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,NA,NA
OTU_2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA
OTU_20,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,NA
OTU_200,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,NA
OTU_202,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,NA
OTU_204,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA
OTU_205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
OTU_209,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
OTU_211,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Hephaestia,NA
OTU_213,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Humibacter,NA
OTU_216,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_217,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
OTU_218,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kroppenstedtii
OTU_219,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus,NA
OTU_22,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA
OTU_220,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
OTU_224,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU_227,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,NA
OTU_230,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,aminovorans
OTU_231,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
OTU_234,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
OTU_239,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,NA
OTU_24,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA
OTU_242,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
OTU_243,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,NA
OTU_247,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
OTU_249,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,NA
OTU_250,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
OTU_26,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,NA
OTU_260,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,NA
OTU_263,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Pelosinus,NA
OTU_27,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,algicola
OTU_270,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,NA
OTU_273,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,arsenica
OTU_277,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
OTU_278,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,goheungense
OTU_279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,autotrophicus
OTU_28,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,lautus
OTU_281,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
OTU_283,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
OTU_284,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,sufflavum
OTU_286,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,NA
OTU_287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA
OTU_290,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_295,Bacteria,NA,NA,NA,NA,NA,NA
OTU_297,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
OTU_3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_30,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Robbsia,NA
OTU_300,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU_302,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA,NA
OTU_303,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
OTU_305,Bacteria,NA,NA,NA,NA,NA,NA
OTU_308,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,NA
OTU_309,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
OTU_31,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,NA
OTU_312,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
OTU_313,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,NA
OTU_315,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobium,NA
OTU_317,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,NA
OTU_318,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
OTU_32,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
OTU_321,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA
OTU_324,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,NA
OTU_325,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA
OTU_327,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU_329,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Ancalomicrobiaceae,Ancalomicrobium,NA
OTU_33,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
OTU_332,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
OTU_335,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA
OTU_341,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,NA
OTU_343,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Serinicoccus,NA
OTU_344,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,bugurensis
OTU_346,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
OTU_347,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Brochothrix,thermosphacta
